11:05:19.074 [main] INFO  c.p.E.EmployeeDataApplication - Starting EmployeeDataApplication using Java 17.0.10 with PID 18010 (/Users/priyankashaktawat/Desktop/intelliJProjects/EmployeeData/target/classes started by priyankashaktawat in /Users/priyankashaktawat/Desktop/intelliJProjects/EmployeeData)
11:05:19.076 [main] DEBUG c.p.E.EmployeeDataApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
11:05:19.078 [main] INFO  c.p.E.EmployeeDataApplication - No active profile set, falling back to 1 default profile: "default"
11:05:19.494 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:05:19.520 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 1 JPA repository interface.
11:05:19.798 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
11:05:19.803 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
11:05:19.804 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:05:19.804 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
11:05:19.833 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:05:19.833 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 720 ms
11:05:19.905 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:05:19.928 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
11:05:19.942 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
11:05:20.073 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:05:20.087 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:05:20.200 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@9205c0a
11:05:20.200 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:05:20.607 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11:05:20.629 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:05:20.830 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:05:21.061 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
11:05:21.070 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
11:05:21.078 [main] INFO  c.p.E.EmployeeDataApplication - Started EmployeeDataApplication in 2.243 seconds (process running for 2.55)
11:11:49.595 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:11:49.596 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:11:49.600 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
11:11:49.635 [http-nio-8080-exec-2] INFO  c.p.E.controller.EmployeeController - Get employee list method is called
11:12:07.347 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m46s999ms).
11:12:37.568 [http-nio-8080-exec-3] INFO  c.p.E.controller.EmployeeController - Get employee list method is called
11:12:52.686 [http-nio-8080-exec-4] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; For input string: "priyanka"]
